id,國家,統計日期,疫苗廠牌,第一劑累計接種人次,第二劑累計接種人次,追加劑累計接種人次,加強劑累計接種人次,第2次追加劑,第2次加強劑,總共累計接種人次
123,Taiwan,2022-10-31,Novavax,18836,25044,77935,1428,333535,0,456778
122,Taiwan,2022-10-31,Moderna,5029041,5282892,11593104,125074,1872772,0,23902883
121,Taiwan,2022-10-31,ALL,21776330,20479784,17077952,184461,2534084,0,62052611
120,Taiwan,2022-11-01,Oxford/AstraZeneca,8072473,7164490,59815,720,0,0,15297498
119,Taiwan,2022-11-01,高端,1019390,988746,945243,12050,98221,0,3063650
118,Taiwan,2022-11-01,BNT,7637488,7020193,4402787,45229,230063,0,19335760
117,Taiwan,2022-11-01,Novavax,18895,25151,78145,1429,334074,0,457694
116,Taiwan,2022-11-01,Moderna,5029407,5283693,11593493,125072,1873388,0,23905053
115,Taiwan,2022-11-01,ALL,21777653,20482273,17079483,184500,2535746,0,62059655
114,Taiwan,2022-11-02,Oxford/AstraZeneca,8072476,7164490,59815,720,0,0,15297501
113,Taiwan,2022-11-02,高端,1019401,988770,945344,12053,98454,0,3064022
112,Taiwan,2022-11-02,BNT,7638316,7022141,4403826,45226,230513,0,19340022
111,Taiwan,2022-11-02,Novavax,18948,25252,78451,1443,334809,0,458903
110,Taiwan,2022-11-02,Moderna,5029715,5284558,11593921,125074,1873619,0,23906887
109,Taiwan,2022-11-02,ALL,21778856,20485211,17081357,184516,2537395,0,62067335
108,Taiwan,2022-11-03,Oxford/AstraZeneca,8072474,7164488,59816,720,0,0,15297498
107,Taiwan,2022-11-03,高端,1019422,988813,945543,12053,98701,0,3064532
106,Taiwan,2022-11-03,BNT,7639167,7024086,4404781,45225,230939,0,19344198
105,Taiwan,2022-11-03,Novavax,19015,25374,78716,1444,335648,0,460197
104,Taiwan,2022-11-03,Moderna,5030079,5285532,11594409,125068,1873937,0,23909025
103,Taiwan,2022-11-03,ALL,21780157,20488293,17083265,184510,2539225,0,62075450
102,Taiwan,2022-11-04,Oxford/AstraZeneca,8072478,7164494,60011,720,0,0,15297703
101,Taiwan,2022-11-04,高端,1019438,988856,945689,12053,98989,0,3065025
100,Taiwan,2022-11-04,BNT,7640175,7026710,4406303,45210,231417,0,19349815
99,Taiwan,2022-11-04,Novavax,19086,25496,79059,1445,336549,0,461635
98,Taiwan,2022-11-04,Moderna,5030517,5286910,11595013,125046,1874400,0,23911886
97,Taiwan,2022-11-04,ALL,21781694,20492466,17086075,184474,2541355,0,62086064
96,Taiwan,2022-11-05,Oxford/AstraZeneca,8072479,7164493,60011,720,0,0,15297703
95,Taiwan,2022-11-05,高端,1019445,988886,945805,12054,99279,0,3065469
94,Taiwan,2022-11-05,BNT,7641326,7029891,4406926,45211,231649,0,19355003
93,Taiwan,2022-11-05,Novavax,19162,25709,79648,1449,337751,0,463719
92,Taiwan,2022-11-05,Moderna,5031098,5288924,11595365,125046,1874998,0,23915431
91,Taiwan,2022-11-05,ALL,21783510,20497903,17087755,184480,2543677,0,62097325
90,Taiwan,2022-11-07,Oxford/AstraZeneca,8072481,7164493,60015,720,0,0,15297709
89,Taiwan,2022-11-07,高端,1019460,988917,945963,12054,99751,0,3066145
88,Taiwan,2022-11-07,BNT,7641764,7030778,4407348,45183,231934,0,19357007
87,Taiwan,2022-11-07,Novavax,19204,25781,79855,1453,338300,0,464593
86,Taiwan,2022-11-07,Moderna,5031438,5289978,11596054,125048,1876282,0,23918800
